name,learning_rate,filters_block1,filters_block2,dense_units,dropout_conv,dropout_dense,epochs,batch_size,num_parameters,train_acc_last,val_acc_last,overfit_gap_acc,test_loss,test_accuracy,macro_recall,train_time_sec
baseline_default,0.001,32,64,256,0.25,0.5,10,64,1116970,0.7473499774932861,0.7511000037193298,-0.0037500262260437,0.7369455099105835,0.744700014591217,0.7447,350.5738830566406
lower_lr,0.0005,32,64,256,0.25,0.5,10,64,1116970,0.7616750001907349,0.7573000192642212,0.0043749809265136,0.7048149108886719,0.7541999816894531,0.7542000000000001,398.0765550136566
more_filters,0.001,64,128,256,0.25,0.5,10,64,2360138,0.7801250219345093,0.7688999772071838,0.0112250447273254,0.693662166595459,0.7645999789237976,0.7646000000000001,1527.3672840595243
stronger_dropout,0.001,32,64,256,0.35,0.6,10,64,1116970,0.7180749773979187,0.7476000189781189,-0.0295250415802001,0.7453750371932983,0.739300012588501,0.7393,371.9608361721039
balanced_plus,0.001,32,64,256,0.3,0.55,10,64,1116970,0.7385500073432922,0.7505000233650208,-0.011950016021728516,0.7485101819038391,0.7426999807357788,0.7426999999999999,399.8916540145874
light_capacity,0.001,48,96,256,0.3,0.5,10,64,1722426,0.7619249820709229,0.7631000280380249,-0.0011750459671020508,0.7095816135406494,0.7573999762535095,0.7574000000000001,808.7936460971832
small_efficient,0.001,32,64,128,0.3,0.5,12,64,591274,0.742775022983551,0.7603999972343445,-0.017624974250793457,0.7165272235870361,0.7555000185966492,0.7555,519.6326031684875
