name,learning_rate,filters_block1,filters_block2,dense_units,dropout_conv,dropout_dense,epochs,batch_size,num_parameters,train_acc_last,val_acc_last,overfit_gap_acc,test_loss,test_accuracy,macro_recall,train_time_sec
baseline_default,0.001,32,64,256,0.25,0.5,10,64,1116970,0.7473499774932861,0.7511000037193298,-0.003750026226043701,0.7369455099105835,0.744700014591217,0.7447,350.5738830566406
lower_lr,0.0005,32,64,256,0.25,0.5,10,64,1116970,0.7616750001907349,0.7573000192642212,0.004374980926513672,0.7048149108886719,0.7541999816894531,0.7542000000000001,398.0765550136566
more_filters,0.001,64,128,256,0.25,0.5,10,64,2360138,0.7801250219345093,0.7688999772071838,0.01122504472732544,0.693662166595459,0.7645999789237976,0.7646000000000001,1527.3672840595245
stronger_dropout,0.001,32,64,256,0.35,0.6,10,64,1116970,0.7180749773979187,0.7476000189781189,-0.029525041580200195,0.7453750371932983,0.739300012588501,0.7393,371.9608361721039
